iter	Passed	Remaining
0	0	55
1	1	52
2	1	49
3	1	45
4	2	45
5	2	44
6	3	44
7	3	44
8	4	44
9	4	44
10	5	44
11	6	44
12	6	44
13	7	44
14	7	44
15	8	43
16	8	43
17	9	42
18	9	41
19	10	41
20	10	40
21	11	40
22	11	39
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	37
30	16	36
31	16	35
32	17	35
33	18	34
34	18	34
35	19	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	33	20
62	33	19
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	38	16
70	39	15
71	39	15
72	40	14
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	9
84	48	8
85	49	7
86	49	7
87	50	6
88	51	6
89	51	5
90	52	5
91	53	4
92	54	4
93	54	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
