iter	Passed	Remaining
0	116	116221
1	118	58963
2	119	39857
3	121	30256
4	123	24538
5	125	20770
6	127	18033
7	128	15972
8	131	14433
9	133	13197
10	135	12153
11	136	11279
12	139	10578
13	141	9933
14	142	9388
15	144	8905
16	146	8472
17	148	8099
18	150	7763
19	152	7464
20	153	7155
21	155	6897
22	156	6664
23	158	6448
24	160	6263
25	162	6076
26	163	5904
27	164	5717
28	165	5554
29	167	5401
30	168	5260
31	169	5124
32	170	4995
33	171	4871
34	172	4751
35	173	4645
36	174	4537
37	175	4438
38	176	4345
39	177	4248
40	177	4156
41	178	4068
42	178	3983
43	179	3902
44	180	3823
45	180	3748
46	181	3677
47	181	3607
48	182	3540
49	182	3476
50	183	3415
51	184	3357
52	184	3300
53	185	3245
54	185	3191
55	186	3139
56	186	3090
57	187	3041
58	187	2998
59	188	2955
60	189	2916
61	190	2876
62	190	2837
63	191	2800
64	192	2763
65	192	2727
66	193	2691
67	193	2658
68	194	2625
69	195	2593
70	195	2562
71	196	2531
72	196	2500
73	197	2470
74	197	2441
75	198	2412
76	198	2384
77	199	2357
78	200	2331
79	200	2305
80	201	2280
81	201	2256
82	201	2230
83	202	2207
84	203	2185
85	203	2164
86	204	2144
87	204	2123
88	205	2103
89	205	2082
90	206	2062
91	207	2043
92	207	2024
93	208	2005
94	208	1987
95	209	1969
96	209	1951
97	210	1933
98	210	1916
99	211	1900
100	211	1884
101	212	1868
102	212	1852
103	213	1836
104	213	1821
105	214	1807
106	214	1793
107	215	1778
108	215	1764
109	216	1751
110	217	1737
111	217	1724
112	218	1712
113	218	1701
114	219	1689
115	220	1677
116	220	1663
117	221	1651
118	221	1639
119	222	1628
120	222	1616
121	223	1604
122	223	1593
123	224	1583
124	224	1572
125	225	1561
126	225	1550
127	226	1540
128	226	1530
129	227	1519
130	227	1509
131	228	1500
132	228	1490
133	229	1480
134	229	1471
135	230	1462
136	230	1453
137	231	1444
138	231	1435
139	232	1426
140	232	1418
141	233	1409
142	233	1402
143	234	1394
144	235	1386
145	235	1378
146	236	1370
147	236	1362
148	237	1354
149	237	1347
150	238	1339
151	238	1331
152	239	1324
153	239	1317
154	240	1309
155	240	1302
156	241	1295
157	241	1288
158	242	1281
159	242	1274
160	243	1266
161	243	1259
162	244	1253
163	244	1246
164	245	1240
165	245	1233
166	246	1227
167	246	1221
168	247	1215
169	247	1209
170	248	1203
171	249	1198
172	249	1193
173	250	1188
174	250	1182
175	251	1177
176	251	1171
177	252	1166
178	253	1161
179	253	1156
180	254	1151
181	254	1146
182	255	1141
183	256	1135
184	256	1130
185	257	1125
186	257	1119
187	258	1114
188	258	1109
189	259	1104
190	259	1099
191	260	1094
192	260	1089
193	261	1084
194	261	1079
195	262	1075
196	262	1071
197	263	1066
198	264	1062
199	264	1058
200	265	1055
201	266	1051
202	266	1047
203	267	1043
204	268	1039
205	268	1035
206	269	1031
207	270	1028
208	270	1024
209	271	1019
210	271	1015
211	272	1011
212	272	1007
213	273	1003
214	273	999
215	274	995
216	274	991
217	275	987
218	275	983
219	276	979
220	276	976
221	277	972
222	277	968
223	278	964
224	279	961
225	279	958
226	280	956
227	281	953
228	282	949
229	282	946
230	283	943
231	283	939
232	284	936
233	285	934
234	285	930
235	286	927
236	287	924
237	287	921
238	288	917
239	288	914
240	289	911
241	289	908
242	290	904
243	291	901
244	291	898
245	292	895
246	292	892
247	293	889
248	294	886
249	297	891
250	303	907
251	305	908
252	306	905
253	307	902
254	308	899
255	308	897
256	309	895
257	310	892
258	313	898
259	320	913
260	322	912
261	323	909
262	323	907
263	324	905
264	325	902
265	326	900
266	327	897
267	327	895
268	328	892
269	328	889
270	329	886
271	330	883
272	330	881
273	331	878
274	332	875
275	332	872
276	333	870
277	334	867
278	334	864
279	335	862
280	335	859
281	336	856
282	337	854
283	337	851
284	338	849
285	339	846
286	340	846
287	347	860
288	352	866
289	352	863
290	353	861
291	354	858
292	354	856
293	355	853
294	356	851
295	357	849
296	357	847
